"ListItem-c11n-8-85-1__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 2","price","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-85-1__sc-6gojrl-0","property-card-link href","Image-c11n-8-85-1__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-85-1__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7117 Tatler Rd, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,272""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7117 Tatler Rd"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.103348,""longitude"":-117.2914},""url"":""https://www.zillow.com/homedetails/7117-Tatler-Rd-Carlsbad-CA-92011/16659074_zpid/""}","https://www.zillow.com/homedetails/7117-Tatler-Rd-Carlsbad-CA-92011/16659074_zpid/","7117 Tatler Rd, Carlsbad, CA 92011","COLDWELL BANKER REALTY","$1.65M","- Sold","2","bds","3","ba","2,272","sqft","Sold 08/01/2022","https://www.zillow.com/homedetails/7117-Tatler-Rd-Carlsbad-CA-92011/16659074_zpid/","https://photos.zillowstatic.com/fp/c2a7606acb911282c77a7889af0503a4-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7097 Tatler Rd, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,781""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7097 Tatler Rd"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.10394,""longitude"":-117.291374},""url"":""https://www.zillow.com/homedetails/7097-Tatler-Rd-Carlsbad-CA-92011/16659067_zpid/""}","https://www.zillow.com/homedetails/7097-Tatler-Rd-Carlsbad-CA-92011/16659067_zpid/","7097 Tatler Rd, Carlsbad, CA 92011","COLDWELL BANKER REALTY","$1.55M","- Sold","2","bds","2","ba","1,781","sqft","Sold 11/30/2022","https://www.zillow.com/homedetails/7097-Tatler-Rd-Carlsbad-CA-92011/16659067_zpid/","https://photos.zillowstatic.com/fp/2221591b389aad032212a674bc7562f2-p_e.jpg","Save this home"
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7327 Linden Ter, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,265""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7327 Linden Ter"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.09713,""longitude"":-117.30529},""url"":""https://www.zillow.com/homedetails/7327-Linden-Ter-Carlsbad-CA-92011/16653508_zpid/""}","https://www.zillow.com/homedetails/7327-Linden-Ter-Carlsbad-CA-92011/16653508_zpid/","7327 Linden Ter, Carlsbad, CA 92011","COLDWELL BANKER REALTY","$1.45M","- Sold","2","bds","2","ba","1,265","sqft","Sold 06/15/2022","https://www.zillow.com/homedetails/7327-Linden-Ter-Carlsbad-CA-92011/16653508_zpid/","https://photos.zillowstatic.com/fp/10af8558225ee52326a1bd6bccad4041-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7116 Tatler Rd, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,756""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7116 Tatler Rd"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.10394,""longitude"":-117.291374},""url"":""https://www.zillow.com/homedetails/7116-Tatler-Rd-Carlsbad-CA-92011/16659071_zpid/""}","https://www.zillow.com/homedetails/7116-Tatler-Rd-Carlsbad-CA-92011/16659071_zpid/","7116 Tatler Rd, Carlsbad, CA 92011","COLDWELL BANKER REALTY","$1.40M","- Sold","2","bds","2","ba","1,756","sqft","Sold 09/23/2022","https://www.zillow.com/homedetails/7116-Tatler-Rd-Carlsbad-CA-92011/16659071_zpid/","https://photos.zillowstatic.com/fp/39bf939398182a61752702d900b114dc-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7378 Escallonia Ct, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,869""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7378 Escallonia Ct"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.09359,""longitude"":-117.31132},""url"":""https://www.zillow.com/homedetails/7378-Escallonia-Ct-Carlsbad-CA-92011/51077331_zpid/""}","https://www.zillow.com/homedetails/7378-Escallonia-Ct-Carlsbad-CA-92011/51077331_zpid/","7378 Escallonia Ct, Carlsbad, CA 92011","THE DEWITT GROUP","$1.38M","- Sold","2","bds","3","ba","1,869","sqft","Sold 10/20/2022","https://www.zillow.com/homedetails/7378-Escallonia-Ct-Carlsbad-CA-92011/51077331_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=33.093589782714844,-117.31131744384766&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=sR0EuBJE7bhznqnSr6ZPQOa_-Pw=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7030 Lantana Ter, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,278""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7030 Lantana Ter"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.10245,""longitude"":-117.30632},""url"":""https://www.zillow.com/homedetails/7030-Lantana-Ter-Carlsbad-CA-92011/16653365_zpid/""}","https://www.zillow.com/homedetails/7030-Lantana-Ter-Carlsbad-CA-92011/16653365_zpid/","7030 Lantana Ter, Carlsbad, CA 92011","WILLIAM JOHNSON, BROKER","$1.35M","- Sold","2","bds","2","ba","1,278","sqft","Sold 06/16/2022","https://www.zillow.com/homedetails/7030-Lantana-Ter-Carlsbad-CA-92011/16653365_zpid/","https://photos.zillowstatic.com/fp/42ef1f107357febe3c54ff3e59394d6b-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7411 Lantana Ter, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,357""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7411 Lantana Ter"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.096756,""longitude"":-117.30434},""url"":""https://www.zillow.com/homedetails/7411-Lantana-Ter-Carlsbad-CA-92011/16653519_zpid/""}","https://www.zillow.com/homedetails/7411-Lantana-Ter-Carlsbad-CA-92011/16653519_zpid/","7411 Lantana Ter, Carlsbad, CA 92011","COLDWELL BANKER REALTY","$1.33M","- Sold","2","bds","2","ba","1,357","sqft","Sold 10/04/2022","https://www.zillow.com/homedetails/7411-Lantana-Ter-Carlsbad-CA-92011/16653519_zpid/","https://photos.zillowstatic.com/fp/faaa0c4f8738884bee5512f076e6ca98-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6721 Clover Ct, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,323""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6721 Clover Ct"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.112663,""longitude"":-117.31012},""url"":""https://www.zillow.com/homedetails/6721-Clover-Ct-Carlsbad-CA-92011/16652768_zpid/""}","https://www.zillow.com/homedetails/6721-Clover-Ct-Carlsbad-CA-92011/16652768_zpid/","6721 Clover Ct, Carlsbad, CA 92011","FIRST TEAM REAL ESTATE","$1.31M","- Sold","2","bds","3","ba","1,323","sqft","Sold 04/21/2022","https://www.zillow.com/homedetails/6721-Clover-Ct-Carlsbad-CA-92011/16652768_zpid/","https://photos.zillowstatic.com/fp/2dca8166f2a446f32226ea1388fd22d8-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7117 Linden Ter, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,199""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7117 Linden Ter"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.101128,""longitude"":-117.30813},""url"":""https://www.zillow.com/homedetails/7117-Linden-Ter-Carlsbad-CA-92011/16653309_zpid/""}","https://www.zillow.com/homedetails/7117-Linden-Ter-Carlsbad-CA-92011/16653309_zpid/","7117 Linden Ter, Carlsbad, CA 92011","COMPASS","$1.30M","- Sold","2","bds","2","ba","1,199","sqft","Sold 09/15/2022","https://www.zillow.com/homedetails/7117-Linden-Ter-Carlsbad-CA-92011/16653309_zpid/","https://photos.zillowstatic.com/fp/5d8ee51eb038f1238c53d359ae7c8cbb-p_e.jpg","Save this home"
