"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11652 Tierra Del Sur, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11652 Tierra Del Sur"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.928707,""longitude"":-117.23253},""url"":""https://www.zillow.com/homedetails/11652-Tierra-Del-Sur-San-Diego-CA-92130/16775332_zpid/""}","https://www.zillow.com/homedetails/11652-Tierra-Del-Sur-San-Diego-CA-92130/16775332_zpid/","11652 Tierra Del Sur, San Diego, CA 92130","BERKSHIRE HATHAWAY HOMESERVICE","$2.24M","- Sold","2","bds","1","ba","--","sqft","Sold 11/23/2021","https://photos.zillowstatic.com/fp/fd16ed222429de1060f3c7dc488f28cd-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""12416 Ruette Alliante, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,276""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""12416 Ruette Alliante"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.943226,""longitude"":-117.23598},""url"":""https://www.zillow.com/homedetails/12416-Ruette-Alliante-San-Diego-CA-92130/16777156_zpid/""}","https://www.zillow.com/homedetails/12416-Ruette-Alliante-San-Diego-CA-92130/16777156_zpid/","12416 Ruette Alliante, San Diego, CA 92130","","$1.95M","- Sold","2","bds","2.5","ba","1,276","sqft","Sold 05/15/2022","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.9432258605957,-117.23597717285156&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=P8l9-GhyFLewMc5Kwhxjlrby5kk=","Save this home"
"","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5102 Triple Crown Row, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,100""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5102 Triple Crown Row"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.973553,""longitude"":-117.207306},""url"":""https://www.zillow.com/homedetails/5102-Triple-Crown-Row-San-Diego-CA-92130/16767496_zpid/""}","https://www.zillow.com/homedetails/5102-Triple-Crown-Row-San-Diego-CA-92130/16767496_zpid/","5102 Triple Crown Row, San Diego, CA 92130","$1.83M","- Sold","","2","bds","3","ba","3,100","sqft","Sold 07/30/2020","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=32.97355270385742,-117.20730590820312&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=SILEEK6TY2_ZMVwBDldrDsM9ax0=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5141 Tattersall Sq, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,673""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5141 Tattersall Sq"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.977474,""longitude"":-117.20733},""url"":""https://www.zillow.com/homedetails/5141-Tattersall-Sq-San-Diego-CA-92130/16767471_zpid/""}","https://www.zillow.com/homedetails/5141-Tattersall-Sq-San-Diego-CA-92130/16767471_zpid/","5141 Tattersall Sq, San Diego, CA 92130","NENA JO HASKINS & ASSOC.","$1.80M","- Sold","2","bds","3","ba","2,673","sqft","Sold 04/12/2021","https://photos.zillowstatic.com/fp/519a3e320afa2b145a0acb07e029836c-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5172 Triple Crown Row, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,947""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5172 Triple Crown Row"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.973553,""longitude"":-117.207306},""url"":""https://www.zillow.com/homedetails/5172-Triple-Crown-Row-San-Diego-CA-92130/16767491_zpid/""}","https://www.zillow.com/homedetails/5172-Triple-Crown-Row-San-Diego-CA-92130/16767491_zpid/","5172 Triple Crown Row, San Diego, CA 92130","WILLIS ALLEN REAL ESTATE","$1.75M","- Sold","2","bds","3","ba","2,947","sqft","Sold 04/07/2021","https://photos.zillowstatic.com/fp/8de80ad9394f67647a1e50c6e44251af-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14251 Fox Run Row, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,947""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14251 Fox Run Row"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.977474,""longitude"":-117.20733},""url"":""https://www.zillow.com/homedetails/14251-Fox-Run-Row-San-Diego-CA-92130/16767453_zpid/""}","https://www.zillow.com/homedetails/14251-Fox-Run-Row-San-Diego-CA-92130/16767453_zpid/","14251 Fox Run Row, San Diego, CA 92130","BERKSHIRE HATHAWAY HOMESERVICE","$1.60M","- Sold","2","bds","3","ba","2,947","sqft","Sold 10/18/2021","https://photos.zillowstatic.com/fp/e617f858927dae26207df9eef60e28bf-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11249 Carmel Creek Rd, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,410""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11249 Carmel Creek Rd"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.922916,""longitude"":-117.226135},""url"":""https://www.zillow.com/homedetails/11249-Carmel-Creek-Rd-San-Diego-CA-92130/16777901_zpid/""}","https://www.zillow.com/homedetails/11249-Carmel-Creek-Rd-San-Diego-CA-92130/16777901_zpid/","11249 Carmel Creek Rd, San Diego, CA 92130","PACIFIC SOTHEBY'S INT'L REALTY","$1.35M","- Sold","2","bds","3","ba","1,410","sqft","Sold 07/27/2022","https://photos.zillowstatic.com/fp/fdf7a607aed7db006a6a77e91f9cefe0-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6134 Galante Pl, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,476""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6134 Galante Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.962517,""longitude"":-117.1849},""url"":""https://www.zillow.com/homedetails/6134-Galante-Pl-San-Diego-CA-92130/66111753_zpid/""}","https://www.zillow.com/homedetails/6134-Galante-Pl-San-Diego-CA-92130/66111753_zpid/","6134 Galante Pl, San Diego, CA 92130","","$1.30M","- Sold","2","bds","2.5","ba","1,476","sqft","Sold 03/30/2022","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.96251678466797,-117.18489837646484&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=21YfYs8lA2JcrEVT1KzTmsEb1No=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11339 Carmel Creek Rd, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,410""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11339 Carmel Creek Rd"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.923244,""longitude"":-117.22479},""url"":""https://www.zillow.com/homedetails/11339-Carmel-Creek-Rd-San-Diego-CA-92130/16777936_zpid/""}","https://www.zillow.com/homedetails/11339-Carmel-Creek-Rd-San-Diego-CA-92130/16777936_zpid/","11339 Carmel Creek Rd, San Diego, CA 92130","PACIFIC SOTHEBY'S INT'L REALTY","$1.25M","- Sold","2","bds","3","ba","1,410","sqft","Sold 11/01/2021","https://photos.zillowstatic.com/fp/d130effbd9356b8d728bb734891d456e-p_e.jpg","Save this home"
