"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""717 Chamberlain Ave, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""902""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""717 Chamberlain Ave"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.789345,""longitude"":-116.97132},""url"":""https://www.zillow.com/homedetails/717-Chamberlain-Ave-El-Cajon-CA-92020/17026452_zpid/""}","https://www.zillow.com/homedetails/717-Chamberlain-Ave-El-Cajon-CA-92020/17026452_zpid/","717 Chamberlain Ave, El Cajon, CA 92020","$989,000","- Sold","2","bds","1.5","ba","902","sqft","Sold 06/03/2020","https://www.zillow.com/homedetails/717-Chamberlain-Ave-El-Cajon-CA-92020/17026452_zpid/","https://photos.zillowstatic.com/fp/1a46d1be05b3d88dfc197f5022192e45-p_e.jpg","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""719 Chamberlain Ave, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,608""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""719 Chamberlain Ave"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.789345,""longitude"":-116.97132},""url"":""https://www.zillow.com/homedetails/719-Chamberlain-Ave-El-Cajon-CA-92020/52518956_zpid/""}","https://www.zillow.com/homedetails/719-Chamberlain-Ave-El-Cajon-CA-92020/52518956_zpid/","719 Chamberlain Ave, El Cajon, CA 92020","$989,000","- Sold","2","bds","1.5","ba","3,608","sqft","Sold 06/03/2020","https://www.zillow.com/homedetails/719-Chamberlain-Ave-El-Cajon-CA-92020/52518956_zpid/","https://photos.zillowstatic.com/fp/7196758ab1f6300720c7cf9a258be2a0-p_e.jpg","Save this home",""
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""135 Marsden Ct, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,912""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""135 Marsden Ct"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.7954,""longitude"":-116.98174},""url"":""https://www.zillow.com/homedetails/135-Marsden-Ct-El-Cajon-CA-92020/17026865_zpid/""}","https://www.zillow.com/homedetails/135-Marsden-Ct-El-Cajon-CA-92020/17026865_zpid/","135 Marsden Ct, El Cajon, CA 92020","NAUTILUS REAL ESTATE","$930,000","2","bds","3","ba","1,912","sqft","Sold 06/10/2022","https://www.zillow.com/homedetails/135-Marsden-Ct-El-Cajon-CA-92020/17026865_zpid/","https://photos.zillowstatic.com/fp/b45f6a86ef071f7d2f062960aa7a6bbd-p_e.jpg","Save this home","- Sold"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1220 Merritt Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,630""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1220 Merritt Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.783253,""longitude"":-116.94004},""url"":""https://www.zillow.com/homedetails/1220-Merritt-Dr-El-Cajon-CA-92020/17032445_zpid/""}","https://www.zillow.com/homedetails/1220-Merritt-Dr-El-Cajon-CA-92020/17032445_zpid/","1220 Merritt Dr, El Cajon, CA 92020","$850,000","- Sold","2","bds","2","ba","1,630","sqft","Sold 06/10/2022","https://www.zillow.com/homedetails/1220-Merritt-Dr-El-Cajon-CA-92020/17032445_zpid/","https://photos.zillowstatic.com/fp/fb1adaf85a9f9c46048976c272a4d9e6-p_e.jpg","Save this home","BERKSHIRE HATHAWAY HOMESERVICE"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""945 E Washington Ave, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""960""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""945 E Washington Ave"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.787228,""longitude"":-116.94972},""url"":""https://www.zillow.com/homedetails/945-E-Washington-Ave-El-Cajon-CA-92020/17031782_zpid/""}","https://www.zillow.com/homedetails/945-E-Washington-Ave-El-Cajon-CA-92020/17031782_zpid/","945 E Washington Ave, El Cajon, CA 92020","$825,000","- Sold","2","bds","1","ba","960","sqft","Sold 06/27/2022","https://www.zillow.com/homedetails/945-E-Washington-Ave-El-Cajon-CA-92020/17031782_zpid/","https://photos.zillowstatic.com/fp/b2be879f7a497c50ad9a0a6bb5c45c02-p_e.jpg","Save this home","STEELE CANYON REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11122 Valley Lights Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,217""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11122 Valley Lights Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.766914,""longitude"":-116.95194},""url"":""https://www.zillow.com/homedetails/11122-Valley-Lights-Dr-El-Cajon-CA-92020/17037661_zpid/""}","https://www.zillow.com/homedetails/11122-Valley-Lights-Dr-El-Cajon-CA-92020/17037661_zpid/","11122 Valley Lights Dr, El Cajon, CA 92020","$800,000","- Sold","2","bds","2","ba","2,217","sqft","Sold 08/12/2020","https://www.zillow.com/homedetails/11122-Valley-Lights-Dr-El-Cajon-CA-92020/17037661_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.76691436767578,-116.95194244384766&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=MU6X7fqiGIh_y-xIlFPXu6UhAbM=","Save this home","COLDWELL BANKER WEST"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""203 N Westwind Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,001""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""203 N Westwind Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.797108,""longitude"":-116.98657},""url"":""https://www.zillow.com/homedetails/203-N-Westwind-Dr-El-Cajon-CA-92020/17023990_zpid/""}","https://www.zillow.com/homedetails/203-N-Westwind-Dr-El-Cajon-CA-92020/17023990_zpid/","203 N Westwind Dr, El Cajon, CA 92020","$785,000","- Sold","2","bds","3","ba","2,001","sqft","Sold 06/18/2021","https://www.zillow.com/homedetails/203-N-Westwind-Dr-El-Cajon-CA-92020/17023990_zpid/","https://photos.zillowstatic.com/fp/b5357d778d31e975649ca6d2e0868f13-p_e.jpg","Save this home","DOMENIC ANTONACCI, BROKER"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""931 Wakefield Ct, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,248""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""931 Wakefield Ct"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.805695,""longitude"":-116.99727},""url"":""https://www.zillow.com/homedetails/931-Wakefield-Ct-El-Cajon-CA-92020/17018297_zpid/""}","https://www.zillow.com/homedetails/931-Wakefield-Ct-El-Cajon-CA-92020/17018297_zpid/","931 Wakefield Ct, El Cajon, CA 92020","$770,000","- Sold","2","bds","2","ba","1,248","sqft","Sold 03/21/2022","https://www.zillow.com/homedetails/931-Wakefield-Ct-El-Cajon-CA-92020/17018297_zpid/","https://photos.zillowstatic.com/fp/cf18461438c7e2c74bdcfd94aa338bb9-p_e.jpg","Save this home","COLDWELL BANKER WEST"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""303 Richardson Ave, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""303 Richardson Ave"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.792515,""longitude"":-116.97187},""url"":""https://www.zillow.com/homedetails/303-Richardson-Ave-El-Cajon-CA-92020/17026136_zpid/""}","https://www.zillow.com/homedetails/303-Richardson-Ave-El-Cajon-CA-92020/17026136_zpid/","303 Richardson Ave, El Cajon, CA 92020","$770,000","- Sold","2","bds","1","ba","1,000","sqft","Sold 10/15/2021","https://www.zillow.com/homedetails/303-Richardson-Ave-El-Cajon-CA-92020/17026136_zpid/","https://photos.zillowstatic.com/fp/1436bc44a77310bd14fe26be01bb834c-p_e.jpg","Save this home",""
