"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","price","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3306 Via Alicante, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,140""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3306 Via Alicante"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.861256,""longitude"":-117.23192},""url"":""https://www.zillow.com/homedetails/3306-Via-Alicante-La-Jolla-CA-92037/16835294_zpid/""}","https://www.zillow.com/homedetails/3306-Via-Alicante-La-Jolla-CA-92037/16835294_zpid/","3306 Via Alicante, La Jolla, CA 92037","BIG BLOCK REALTY, INC.","$875,000","- Sold","2","bds","3","ba","1,140","sqft","Sold 02/28/2023","https://www.zillow.com/homedetails/3306-Via-Alicante-La-Jolla-CA-92037/16835294_zpid/","https://photos.zillowstatic.com/fp/326425a70405d7ca9d26a0b72e70732d-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""646 Rushville St, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,196""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""646 Rushville St"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.83516,""longitude"":-117.27524},""url"":""https://www.zillow.com/homedetails/646-Rushville-St-La-Jolla-CA-92037/16849491_zpid/""}","https://www.zillow.com/homedetails/646-Rushville-St-La-Jolla-CA-92037/16849491_zpid/","646 Rushville St, La Jolla, CA 92037","HEARTLAND REAL ESTATE","$1.62M","- Sold","2","bds","2","ba","1,196","sqft","Sold 02/27/2023","https://www.zillow.com/homedetails/646-Rushville-St-La-Jolla-CA-92037/16849491_zpid/","https://photos.zillowstatic.com/fp/64ccca48106ebc48b760788142d8736d-p_e.jpg","Save this home"
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2130 Vallecitos Unit 248, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,342""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2130 Vallecitos UNIT 248"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.85466,""longitude"":-117.25592},""url"":""https://www.zillow.com/homedetails/2130-Vallecitos-UNIT-248-La-Jolla-CA-92037/16838733_zpid/""}","https://www.zillow.com/homedetails/2130-Vallecitos-UNIT-248-La-Jolla-CA-92037/16838733_zpid/","2130 Vallecitos UNIT 248, La Jolla, CA 92037","LATITUDE 32 REALTY","$1.70M","- Sold","2","bds","2","ba","1,342","sqft","Sold 02/22/2023","https://www.zillow.com/homedetails/2130-Vallecitos-UNIT-248-La-Jolla-CA-92037/16838733_zpid/","https://photos.zillowstatic.com/fp/fc41fc08479be42b14fb3f016373da1c-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3159 Morning Way, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,714""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3159 Morning Way"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.868343,""longitude"":-117.23464},""url"":""https://www.zillow.com/homedetails/3159-Morning-Way-La-Jolla-CA-92037/16835825_zpid/""}","https://www.zillow.com/homedetails/3159-Morning-Way-La-Jolla-CA-92037/16835825_zpid/","3159 Morning Way, La Jolla, CA 92037","SIEMIENOWSKI & ASSOCIATES","$1.30M","- Sold","2","bds","3","ba","1,714","sqft","Sold 02/13/2023","https://www.zillow.com/homedetails/3159-Morning-Way-La-Jolla-CA-92037/16835825_zpid/","https://photos.zillowstatic.com/fp/26ffbdd19ef7b790713cf4cb2958f003-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1001 Genter St Unit 6c, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,094""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1001 Genter St UNIT 6C"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.836784,""longitude"":-117.27129},""url"":""https://www.zillow.com/homedetails/1001-Genter-St-UNIT-6C-La-Jolla-CA-92037/16849627_zpid/""}","https://www.zillow.com/homedetails/1001-Genter-St-UNIT-6C-La-Jolla-CA-92037/16849627_zpid/","1001 Genter St UNIT 6C, La Jolla, CA 92037","WILLIS ALLEN REAL ESTATE","$1.95M","- Sold","2","bds","2","ba","2,094","sqft","Sold 02/13/2023","https://www.zillow.com/homedetails/1001-Genter-St-UNIT-6C-La-Jolla-CA-92037/16849627_zpid/","https://photos.zillowstatic.com/fp/949abbb528e97d7603cb57c35aa759c7-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8870 Villa La Jolla Dr Unit 214, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,243""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8870 Villa La Jolla Dr UNIT 214"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.86982,""longitude"":-117.23554},""url"":""https://www.zillow.com/homedetails/8870-Villa-La-Jolla-Dr-UNIT-214-La-Jolla-CA-92037/16835949_zpid/""}","https://www.zillow.com/homedetails/8870-Villa-La-Jolla-Dr-UNIT-214-La-Jolla-CA-92037/16835949_zpid/","8870 Villa La Jolla Dr UNIT 214, La Jolla, CA 92037","BERKSHIRE HATHAWAY HOMESERVICE","$875,000","- Sold","2","bds","2","ba","1,243","sqft","Sold 02/10/2023","https://www.zillow.com/homedetails/8870-Villa-La-Jolla-Dr-UNIT-214-La-Jolla-CA-92037/16835949_zpid/","https://photos.zillowstatic.com/fp/b089766fd7101bbe3ba9dd76c6632875-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6455 La Jolla Blvd Unit 305, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""989""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6455 La Jolla Blvd UNIT 305"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.825966,""longitude"":-117.27615},""url"":""https://www.zillow.com/homedetails/6455-La-Jolla-Blvd-UNIT-305-La-Jolla-CA-92037/16850775_zpid/""}","https://www.zillow.com/homedetails/6455-La-Jolla-Blvd-UNIT-305-La-Jolla-CA-92037/16850775_zpid/","6455 La Jolla Blvd UNIT 305, La Jolla, CA 92037","COMPASS","$888,000","- Sold","2","bds","2","ba","989","sqft","Sold 02/08/2023","https://www.zillow.com/homedetails/6455-La-Jolla-Blvd-UNIT-305-La-Jolla-CA-92037/16850775_zpid/","https://photos.zillowstatic.com/fp/b88db68dd354c4e957d8dc00ed12db86-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5410 La Jolla Blvd Unit A303, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,347""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5410 La Jolla Blvd UNIT A303"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.810818,""longitude"":-117.267166},""url"":""https://www.zillow.com/homedetails/5410-La-Jolla-Blvd-UNIT-A303-La-Jolla-CA-92037/63659243_zpid/""}","https://www.zillow.com/homedetails/5410-La-Jolla-Blvd-UNIT-A303-La-Jolla-CA-92037/63659243_zpid/","5410 La Jolla Blvd UNIT A303, La Jolla, CA 92037","BERKSHIRE HATHAWAY HOMESERVICE","$1.30M","- Sold","2","bds","2","ba","1,347","sqft","Sold 02/06/2023","https://www.zillow.com/homedetails/5410-La-Jolla-Blvd-UNIT-A303-La-Jolla-CA-92037/63659243_zpid/","https://photos.zillowstatic.com/fp/db266c292f42be062ccbf370b2bd684d-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""220 Coast Blvd #f3, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,472""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""220 Coast Blvd #F3"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.83978,""longitude"":-117.28162},""url"":""https://www.zillow.com/homedetails/220-Coast-Blvd-F3-La-Jolla-CA-92037/16848912_zpid/""}","https://www.zillow.com/homedetails/220-Coast-Blvd-F3-La-Jolla-CA-92037/16848912_zpid/","220 Coast Blvd #F3, La Jolla, CA 92037","","$2.45M","- Sold","2","bds","2","ba","1,472","sqft","Sold 02/03/2023","https://www.zillow.com/homedetails/220-Coast-Blvd-F3-La-Jolla-CA-92037/16848912_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.839778900146484,-117.2816162109375&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=rDeRe0gXMFUI-Dk60wGM-JFEGg0=","Save this home"
