"ListItem-c11n-8-85-1__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-85-1__sc-6gojrl-0","property-card-link href","Image-c11n-8-85-1__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-85-1__sc-wpcbcc-1","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 4"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2878 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,411""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2878 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2878-Via-Alta-Pl-San-Diego-CA-92108/305156603_zpid/""}","https://www.zillow.com/homedetails/2878-Via-Alta-Pl-San-Diego-CA-92108/305156603_zpid/","2878 Via Alta Pl, San Diego, CA 92108","$1.60M","- Sold","2","bds","2.5","ba","1,411","sqft","Sold 05/05/2021","https://www.zillow.com/homedetails/2878-Via-Alta-Pl-San-Diego-CA-92108/305156603_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.78316879272461,-117.14506530761719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=elGT9Qi1aoqF7zQVyWz6tT7A87Q=","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2919 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,584""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2919 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2919-Via-Alta-Pl-San-Diego-CA-92108/305156454_zpid/""}","https://www.zillow.com/homedetails/2919-Via-Alta-Pl-San-Diego-CA-92108/305156454_zpid/","2919 Via Alta Pl, San Diego, CA 92108","$1.43M","- Sold","2","bds","2","ba","1,584","sqft","Sold 03/11/2022","https://www.zillow.com/homedetails/2919-Via-Alta-Pl-San-Diego-CA-92108/305156454_zpid/","https://photos.zillowstatic.com/fp/6db5cb1fcce0f83415dd755998157762-p_e.jpg","Save this home","EXP REALTY OF CALIFORNIA INC"
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8566 Aspect Dr, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,656""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8566 Aspect Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.781124,""longitude"":-117.14794},""url"":""https://www.zillow.com/homedetails/8566-Aspect-Dr-San-Diego-CA-92108/250195242_zpid/""}","https://www.zillow.com/homedetails/8566-Aspect-Dr-San-Diego-CA-92108/250195242_zpid/","8566 Aspect Dr, San Diego, CA 92108","COMPASS","$1.37M","2","bds","2","ba","1,656","sqft","Sold 03/15/2022","https://www.zillow.com/homedetails/8566-Aspect-Dr-San-Diego-CA-92108/250195242_zpid/","https://photos.zillowstatic.com/fp/db91be301c8444fe1fb590e11f9cd2d8-p_e.jpg","Save this home","- Sold"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2857 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,584""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2857 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2857-Via-Alta-Pl-San-Diego-CA-92108/251265011_zpid/""}","https://www.zillow.com/homedetails/2857-Via-Alta-Pl-San-Diego-CA-92108/251265011_zpid/","2857 Via Alta Pl, San Diego, CA 92108","$1.36M","- Sold","2","bds","2","ba","1,584","sqft","Sold 02/22/2022","https://www.zillow.com/homedetails/2857-Via-Alta-Pl-San-Diego-CA-92108/251265011_zpid/","https://photos.zillowstatic.com/fp/5ab9dc04205f2a7b0161045877c36fbb-p_e.jpg","Save this home","EXP REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8577 Aspect Dr, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,653""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8577 Aspect Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.781425,""longitude"":-117.1476},""url"":""https://www.zillow.com/homedetails/8577-Aspect-Dr-San-Diego-CA-92108/250194972_zpid/""}","https://www.zillow.com/homedetails/8577-Aspect-Dr-San-Diego-CA-92108/250194972_zpid/","8577 Aspect Dr, San Diego, CA 92108","$1.35M","- Sold","2","bds","2","ba","1,653","sqft","Sold 06/23/2022","https://www.zillow.com/homedetails/8577-Aspect-Dr-San-Diego-CA-92108/250194972_zpid/","https://photos.zillowstatic.com/fp/fe165839352c4e1c71ab8cef3c6c2a82-p_e.jpg","Save this home","MICHAEL D. MCGEE"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2799 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,584""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2799 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2799-Via-Alta-Pl-San-Diego-CA-92108/251116616_zpid/""}","https://www.zillow.com/homedetails/2799-Via-Alta-Pl-San-Diego-CA-92108/251116616_zpid/","2799 Via Alta Pl, San Diego, CA 92108","$1.31M","- Sold","2","bds","2","ba","1,584","sqft","Sold 10/29/2021","https://www.zillow.com/homedetails/2799-Via-Alta-Pl-San-Diego-CA-92108/251116616_zpid/","https://photos.zillowstatic.com/fp/6be40b819daada681e2db3b595d28581-p_e.jpg","Save this home","EXP REALTY OF CALIFORNIA INC"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2739 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,584""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2739 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2739-Via-Alta-Pl-San-Diego-CA-92108/305156670_zpid/""}","https://www.zillow.com/homedetails/2739-Via-Alta-Pl-San-Diego-CA-92108/305156670_zpid/","2739 Via Alta Pl, San Diego, CA 92108","$1.25M","- Sold","2","bds","2","ba","1,584","sqft","Sold 06/25/2021","https://www.zillow.com/homedetails/2739-Via-Alta-Pl-San-Diego-CA-92108/305156670_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.78316879272461,-117.14506530761719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=elGT9Qi1aoqF7zQVyWz6tT7A87Q=","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7960 Modern Oasis Dr, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,464""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7960 Modern Oasis Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.779068,""longitude"":-117.1506},""url"":""https://www.zillow.com/homedetails/7960-Modern-Oasis-Dr-San-Diego-CA-92108/121422360_zpid/""}","https://www.zillow.com/homedetails/7960-Modern-Oasis-Dr-San-Diego-CA-92108/121422360_zpid/","7960 Modern Oasis Dr, San Diego, CA 92108","$1.10M","- Sold","2","bds","3","ba","1,464","sqft","Sold 03/21/2022","https://www.zillow.com/homedetails/7960-Modern-Oasis-Dr-San-Diego-CA-92108/121422360_zpid/","https://photos.zillowstatic.com/fp/c1b16308028db5472271d9d9fb99acfd-p_e.jpg","Save this home","COMPASS"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2737 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,584""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2737 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2737-Via-Alta-Pl-San-Diego-CA-92108/305156358_zpid/""}","https://www.zillow.com/homedetails/2737-Via-Alta-Pl-San-Diego-CA-92108/305156358_zpid/","2737 Via Alta Pl, San Diego, CA 92108","$1.10M","- Sold","2","bds","2","ba","1,584","sqft","Sold 01/22/2021","https://www.zillow.com/homedetails/2737-Via-Alta-Pl-San-Diego-CA-92108/305156358_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.78316879272461,-117.14506530761719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=elGT9Qi1aoqF7zQVyWz6tT7A87Q=","Save this home",""
