"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4451 Logan Ave, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,136""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4451 Logan Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.69632,""longitude"":-117.098755},""url"":""https://www.zillow.com/homedetails/4451-Logan-Ave-San-Diego-CA-92113/17092552_zpid/""}","https://www.zillow.com/homedetails/4451-Logan-Ave-San-Diego-CA-92113/17092552_zpid/","4451 Logan Ave, San Diego, CA 92113","$2.00M","- Sold","3","bds","1","ba","1,136","sqft","Sold 02/02/2021","https://www.zillow.com/homedetails/4451-Logan-Ave-San-Diego-CA-92113/17092552_zpid/","https://photos.zillowstatic.com/fp/3337b70589b856dc35925229cb89ef73-p_e.jpg","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3934-36 Marine View Ave, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3934-36 Marine View Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.684124,""longitude"":-117.10889},""url"":""https://www.zillow.com/homedetails/3934-36-Marine-View-Ave-San-Diego-CA-92113/295363322_zpid/""}","https://www.zillow.com/homedetails/3934-36-Marine-View-Ave-San-Diego-CA-92113/295363322_zpid/","3934-36 Marine View Ave, San Diego, CA 92113","$1.30M","- Sold","3","bds","1","ba","1,000","sqft","Sold 11/04/2021","https://www.zillow.com/homedetails/3934-36-Marine-View-Ave-San-Diego-CA-92113/295363322_zpid/","https://photos.zillowstatic.com/fp/571b246e32a18d56ba0a9d12c578a355-p_e.jpg","Save this home",""
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1865 Newton Ave, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""684""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1865 Newton Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.700016,""longitude"":-117.14663},""url"":""https://www.zillow.com/homedetails/1865-Newton-Ave-San-Diego-CA-92113/17075235_zpid/""}","https://www.zillow.com/homedetails/1865-Newton-Ave-San-Diego-CA-92113/17075235_zpid/","1865 Newton Ave, San Diego, CA 92113","$944,000","- Sold","3","bds","1","ba","684","sqft","Sold 08/05/2021","https://www.zillow.com/homedetails/1865-Newton-Ave-San-Diego-CA-92113/17075235_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.700016021728516,-117.1466293334961&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=d1DE2JUHxvfsoaZ6Jkqf8Lgsa7U=","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2162-64 National Ave, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2162-64 National Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.697895,""longitude"":-117.140495},""url"":""https://www.zillow.com/homedetails/2162-64-National-Ave-San-Diego-CA-92113/295360924_zpid/""}","https://www.zillow.com/homedetails/2162-64-National-Ave-San-Diego-CA-92113/295360924_zpid/","2162-64 National Ave, San Diego, CA 92113","$920,000","- Sold","3","bds","3","ba","--","sqft","Sold 10/18/2022","https://www.zillow.com/homedetails/2162-64-National-Ave-San-Diego-CA-92113/295360924_zpid/","https://photos.zillowstatic.com/fp/9dc9507a4b04504292c2582d20d533d6-p_e.jpg","Save this home","JLM REAL ESTATE INC."
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3431 1/2 Acacia St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,200""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3431 1/2 Acacia St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.693256,""longitude"":-117.119255},""url"":""https://www.zillow.com/homedetails/3431-1-2-Acacia-St-San-Diego-CA-92113/295362926_zpid/""}","https://www.zillow.com/homedetails/3431-1-2-Acacia-St-San-Diego-CA-92113/295362926_zpid/","3431 1/2 Acacia St, San Diego, CA 92113","$865,000","- Sold","3","bds","2","ba","1,200","sqft","Sold 03/18/2020","https://www.zillow.com/homedetails/3431-1-2-Acacia-St-San-Diego-CA-92113/295362926_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.69325637817383,-117.11925506591797&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=GluRUPia5QpI8epDutXgDcPFNQc=","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4170-72 Jamul Ave, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,440""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4170-72 Jamul Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.70149,""longitude"":-117.10575},""url"":""https://www.zillow.com/homedetails/4170-72-Jamul-Ave-San-Diego-CA-92113/17087197_zpid/""}","https://www.zillow.com/homedetails/4170-72-Jamul-Ave-San-Diego-CA-92113/17087197_zpid/","4170-72 Jamul Ave, San Diego, CA 92113","$850,000","- Sold","3","bds","2","ba","1,440","sqft","Sold 05/17/2022","https://www.zillow.com/homedetails/4170-72-Jamul-Ave-San-Diego-CA-92113/17087197_zpid/","https://photos.zillowstatic.com/fp/112061f4267441b00c3dab92fe72c92e-p_e.jpg","Save this home","BOWES HOME TEAM"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2920 Webster Ave, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,334""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2920 Webster Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.704605,""longitude"":-117.131226},""url"":""https://www.zillow.com/homedetails/2920-Webster-Ave-San-Diego-CA-92113/17084839_zpid/""}","https://www.zillow.com/homedetails/2920-Webster-Ave-San-Diego-CA-92113/17084839_zpid/","2920 Webster Ave, San Diego, CA 92113","$837,000","- Sold","3","bds","3","ba","1,334","sqft","Sold 05/03/2022","https://www.zillow.com/homedetails/2920-Webster-Ave-San-Diego-CA-92113/17084839_zpid/","https://photos.zillowstatic.com/fp/ded6371d1e092726f73ce44ae00b0f58-p_e.jpg","Save this home","GUARDIAN REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4060 Nordica St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""910""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4060 Nordica St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.686028,""longitude"":-117.106224},""url"":""https://www.zillow.com/homedetails/4060-Nordica-St-San-Diego-CA-92113/295363299_zpid/""}","https://www.zillow.com/homedetails/4060-Nordica-St-San-Diego-CA-92113/295363299_zpid/","4060 Nordica St, San Diego, CA 92113","$820,000","- Sold","3","bds","2","ba","910","sqft","Sold 02/09/2021","https://www.zillow.com/homedetails/4060-Nordica-St-San-Diego-CA-92113/295363299_zpid/","https://photos.zillowstatic.com/fp/02b19939ae5973a75dc97fd8035a28f6-p_e.jpg","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4240-44 Gamma St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,552""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4240-44 Gamma St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.690083,""longitude"":-117.103004},""url"":""https://www.zillow.com/homedetails/4240-44-Gamma-St-San-Diego-CA-92113/295363212_zpid/""}","https://www.zillow.com/homedetails/4240-44-Gamma-St-San-Diego-CA-92113/295363212_zpid/","4240-44 Gamma St, San Diego, CA 92113","$801,000","- Sold","3","bds","3","ba","1,552","sqft","Sold 05/18/2022","https://www.zillow.com/homedetails/4240-44-Gamma-St-San-Diego-CA-92113/295363212_zpid/","https://photos.zillowstatic.com/fp/01e2921c092db042566a415046002949-p_e.jpg","Save this home",""
