"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11470 Surco Dr, San Diego, CA 92126"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,623""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11470 Surco Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92126""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.930737,""longitude"":-117.146034},""url"":""https://www.zillow.com/homedetails/11470-Surco-Dr-San-Diego-CA-92126/16780825_zpid/""}","https://www.zillow.com/homedetails/11470-Surco-Dr-San-Diego-CA-92126/16780825_zpid/","11470 Surco Dr, San Diego, CA 92126","EXP REALTY OF CALIFORNIA INC","$1.37M","- Sold","3","bds","2","ba","1,623","sqft","Sold 03/04/2022","https://www.zillow.com/homedetails/11470-Surco-Dr-San-Diego-CA-92126/16780825_zpid/","https://photos.zillowstatic.com/fp/1c42780f176c6d7eaa0c1d1641efdabe-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8134 Rose Quartz Cir, San Diego, CA 92126"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,037""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8134 Rose Quartz Cir"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92126""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/8134-Rose-Quartz-Cir-San-Diego-CA-92126/2062574153_zpid/""}","https://www.zillow.com/homedetails/8134-Rose-Quartz-Cir-San-Diego-CA-92126/2062574153_zpid/","8134 Rose Quartz Cir, San Diego, CA 92126","EPICPOINT PROPERTIES","$1.35M","- Sold","3","bds","4","ba","2,037","sqft","Sold 08/24/2022","https://www.zillow.com/homedetails/8134-Rose-Quartz-Cir-San-Diego-CA-92126/2062574153_zpid/","https://photos.zillowstatic.com/fp/1c5883ac45634416ed0f5011f5dbc1a7-p_e.jpg","Save this home"
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10255 Parkdale Ave, San Diego, CA 92126"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,851""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10255 Parkdale Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92126""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.904232,""longitude"":-117.155624},""url"":""https://www.zillow.com/homedetails/10255-Parkdale-Ave-San-Diego-CA-92126/16832911_zpid/""}","https://www.zillow.com/homedetails/10255-Parkdale-Ave-San-Diego-CA-92126/16832911_zpid/","10255 Parkdale Ave, San Diego, CA 92126","LYST REALTY","$1.33M","- Sold","3","bds","3","ba","1,851","sqft","Sold 06/21/2022","https://www.zillow.com/homedetails/10255-Parkdale-Ave-San-Diego-CA-92126/16832911_zpid/","https://photos.zillowstatic.com/fp/b4875158892fc81e56348bdfe77f9973-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11404 Corley Ct, San Diego, CA 92126"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,680""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11404 Corley Ct"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92126""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.929558,""longitude"":-117.14964},""url"":""https://www.zillow.com/homedetails/11404-Corley-Ct-San-Diego-CA-92126/16784431_zpid/""}","https://www.zillow.com/homedetails/11404-Corley-Ct-San-Diego-CA-92126/16784431_zpid/","11404 Corley Ct, San Diego, CA 92126","COLDWELL BANKER REALTY","$1.25M","- Sold","3","bds","2","ba","1,680","sqft","Sold 03/14/2022","https://www.zillow.com/homedetails/11404-Corley-Ct-San-Diego-CA-92126/16784431_zpid/","https://photos.zillowstatic.com/fp/a91411bb9eedec43d9644b0788d18168-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10522 Cara Cara Dr, San Diego, CA 92126"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,050""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10522 Cara Cara Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92126""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/10522-Cara-Cara-Dr-San-Diego-CA-92126/2060618246_zpid/""}","https://www.zillow.com/homedetails/10522-Cara-Cara-Dr-San-Diego-CA-92126/2060618246_zpid/","10522 Cara Cara Dr, San Diego, CA 92126","TORREY PINES DEVELOPMENT GROUP","$1.25M","- Sold","3","bds","4","ba","2,050","sqft","Sold 01/04/2023","https://www.zillow.com/homedetails/10522-Cara-Cara-Dr-San-Diego-CA-92126/2060618246_zpid/","https://photos.zillowstatic.com/fp/8f410ce3d6ed1d523cd36f4b8785a162-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7656 Acama St, San Diego, CA 92126"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,500""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7656 Acama St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92126""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.92683,""longitude"":-117.15718},""url"":""https://www.zillow.com/homedetails/7656-Acama-St-San-Diego-CA-92126/16781221_zpid/""}","https://www.zillow.com/homedetails/7656-Acama-St-San-Diego-CA-92126/16781221_zpid/","7656 Acama St, San Diego, CA 92126","KELLER WILLIAMS LA JOLLA","$1.20M","- Sold","3","bds","2","ba","1,500","sqft","Sold 05/09/2022","https://www.zillow.com/homedetails/7656-Acama-St-San-Diego-CA-92126/16781221_zpid/","https://photos.zillowstatic.com/fp/b6bb62e9a4d68533936e57b0a16ff5e7-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10685 Glendover Ln, San Diego, CA 92126"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,482""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10685 Glendover Ln"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92126""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.911644,""longitude"":-117.17045},""url"":""https://www.zillow.com/homedetails/10685-Glendover-Ln-San-Diego-CA-92126/16790827_zpid/""}","https://www.zillow.com/homedetails/10685-Glendover-Ln-San-Diego-CA-92126/16790827_zpid/","10685 Glendover Ln, San Diego, CA 92126","BIG BLOCK REALTY, INC.","$1.20M","- Sold","3","bds","3","ba","1,482","sqft","Sold 04/19/2022","https://www.zillow.com/homedetails/10685-Glendover-Ln-San-Diego-CA-92126/16790827_zpid/","https://photos.zillowstatic.com/fp/71c9abe1b0e9ec79674801fcbfccb6de-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8890 Revelstoke Way, San Diego, CA 92126"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,381""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8890 Revelstoke Way"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92126""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.93295,""longitude"":-117.13111},""url"":""https://www.zillow.com/homedetails/8890-Revelstoke-Way-San-Diego-CA-92126/16819378_zpid/""}","https://www.zillow.com/homedetails/8890-Revelstoke-Way-San-Diego-CA-92126/16819378_zpid/","8890 Revelstoke Way, San Diego, CA 92126","CORCORAN GLOBAL LIVING","$1.20M","- Sold","3","bds","2","ba","1,381","sqft","Sold 04/06/2022","https://www.zillow.com/homedetails/8890-Revelstoke-Way-San-Diego-CA-92126/16819378_zpid/","https://photos.zillowstatic.com/fp/701b0ca77853ec1f04aeef62f7f04a9c-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11027 Alonda Ct, San Diego, CA 92126"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,396""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11027 Alonda Ct"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92126""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.92192,""longitude"":-117.16073},""url"":""https://www.zillow.com/homedetails/11027-Alonda-Ct-San-Diego-CA-92126/52511996_zpid/""}","https://www.zillow.com/homedetails/11027-Alonda-Ct-San-Diego-CA-92126/52511996_zpid/","11027 Alonda Ct, San Diego, CA 92126","BERKSHIRE HATHAWAY HOMESERVICE","$1.16M","- Sold","3","bds","2","ba","1,396","sqft","Sold 11/30/2021","https://www.zillow.com/homedetails/11027-Alonda-Ct-San-Diego-CA-92126/52511996_zpid/","https://photos.zillowstatic.com/fp/c311e1e0fe335febf0f05f09a31463cf-p_e.jpg","Save this home"
